# K2 Campaign 6
# Guide Star Information
# Time (JD), FGS Flux
# 
2457222.56916,   1.5038000000000E+04
2457222.56985,   1.4960000000000E+04
2457222.57054,   1.4803000000000E+04
2457222.57123,   1.4884000000000E+04
2457222.57192,   1.4769000000000E+04
2457222.57261,   1.4734000000000E+04
2457222.5733,   1.4675000000000E+04
2457222.57398,   1.5013000000000E+04
2457222.57467,   1.5167000000000E+04
2457222.57536,   1.4464000000000E+04
2457222.57605,   1.4929000000000E+04
2457222.57674,   1.4748000000000E+04
2457222.57743,   1.4629000000000E+04
2457222.57812,   1.4551000000000E+04
2457222.5788,   1.4554000000000E+04
2457222.57949,   1.4553000000000E+04
2457222.58018,   1.4534000000000E+04
2457222.58087,   1.4753000000000E+04
2457222.58156,   1.4367000000000E+04
2457222.58225,   1.4725000000000E+04
2457222.58294,   1.4557000000000E+04
2457222.58362,   1.4428000000000E+04
2457222.58431,   1.4365000000000E+04
2457222.585,   1.4322000000000E+04
2457222.58569,   1.4278000000000E+04
2457222.58638,   1.4277000000000E+04
2457222.58707,   1.4347000000000E+04
2457222.58776,   1.4044000000000E+04
2457222.58845,   1.4743000000000E+04
2457222.58913,   1.4590000000000E+04
2457222.58982,   1.3880000000000E+04
2457222.59051,   1.4230000000000E+04
2457222.5912,   1.4082000000000E+04
2457222.59189,   1.4028000000000E+04
2457222.59258,   1.4055000000000E+04
2457222.59327,   1.3991000000000E+04
2457222.59395,   1.3932000000000E+04
2457222.59464,   1.4314000000000E+04
2457222.59533,   1.3772000000000E+04
2457222.59602,   1.4240000000000E+04
2457222.59671,   1.4003000000000E+04
2457222.5974,   1.3933000000000E+04
2457222.59809,   1.3899000000000E+04
2457222.59878,   1.3962000000000E+04
2457222.59946,   1.4011000000000E+04
2457222.60015,   1.3687000000000E+04
2457222.60084,   1.3641000000000E+04
2457222.60153,   1.3897000000000E+04
2457222.60222,   1.3444000000000E+04
2457222.60291,   1.3367000000000E+04
2457222.6036,   1.3703000000000E+04
2457222.60428,   1.3476000000000E+04
2457222.60497,   1.3514000000000E+04
2457222.60566,   1.3618000000000E+04
2457222.60635,   1.3419000000000E+04
2457222.60704,   1.3365000000000E+04
2457222.60773,   1.3405000000000E+04
2457222.60842,   1.3052000000000E+04
2457222.60911,   1.3040000000000E+04
2457222.60979,   1.3508000000000E+04
2457222.61048,   1.3320000000000E+04
2457222.61117,   1.3292000000000E+04
2457222.61186,   1.3122000000000E+04
2457222.61255,   1.3058000000000E+04
2457222.61324,   1.3062000000000E+04
2457222.61393,   1.3030000000000E+04
2457222.61461,   1.2943000000000E+04
2457222.6153,   1.2758000000000E+04
2457222.61599,   1.2699000000000E+04
2457222.61668,   1.3172000000000E+04
2457222.61737,   1.2902000000000E+04
2457222.61806,   1.2829000000000E+04
2457222.61875,   1.2663000000000E+04
2457222.61944,   1.2678000000000E+04
2457222.62012,   1.2616000000000E+04
2457222.62081,   1.2617000000000E+04
2457222.6215,   1.2526000000000E+04
2457222.62219,   1.2729000000000E+04
2457222.62288,   1.2772000000000E+04
2457222.62357,   1.2713000000000E+04
2457222.62426,   1.2365000000000E+04
2457222.62494,   1.2489000000000E+04
2457222.62563,   1.2186000000000E+04
2457222.62632,   1.2200000000000E+04
2457222.62701,   1.2104000000000E+04
2457222.6277,   1.2139000000000E+04
2457222.62839,   1.2043000000000E+04
2457222.62908,   1.1806000000000E+04
2457222.62977,   1.1807000000000E+04
2457222.63045,   1.2198000000000E+04
2457222.63114,   1.2043000000000E+04
2457222.63183,   1.1997000000000E+04
2457222.63252,   1.1823000000000E+04
2457222.63321,   1.1757000000000E+04
2457222.6339,   1.2369000000000E+04
2457222.63459,   1.1681000000000E+04
2457222.63527,   1.1587000000000E+04
2457222.63596,   1.1740000000000E+04
2457222.63665,   1.1836000000000E+04
2457222.63734,   1.1766000000000E+04
2457222.63803,   1.1520000000000E+04
2457222.63872,   1.1462000000000E+04
2457222.63941,   1.1247000000000E+04
2457222.64009,   1.1413000000000E+04
2457222.64078,   1.1428000000000E+04
2457222.64147,   1.1261000000000E+04
2457222.64216,   1.1179000000000E+04
2457222.64285,   1.0925000000000E+04
2457222.64354,   1.0938000000000E+04
2457222.64423,   1.1379000000000E+04
2457222.64492,   1.1088000000000E+04
2457222.6456,   1.1065000000000E+04
2457222.64629,   1.0974000000000E+04
2457222.64698,   1.0857000000000E+04
2457222.64767,   1.0804000000000E+04
2457222.64836,   1.0692000000000E+04
2457222.64905,   1.0736000000000E+04
2457222.64974,   1.0540000000000E+04
2457222.65042,   1.1127000000000E+04
2457222.65111,   1.1027000000000E+04
2457222.6518,   1.0823000000000E+04
2457222.65249,   1.0818000000000E+04
2457222.65318,   1.0709000000000E+04
2457222.65387,   1.0597000000000E+04
2457222.65456,   1.0648000000000E+04
