EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
233244098, 257.848967, -30.631046, 10.958, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
233291074, 257.647649, -30.439379, 11.162, GO11071_LC|GO11122_LC|GO11098_LC
233302109, 257.58429, -30.394784, 10.459, GO11071_LC|GO11122_LC|GO11098_LC
233313625, 257.730165, -30.348203, 11.107, GO11122_LC|GO11098_LC
233315395, 257.529858, -30.341068, 11.393, GO11122_LC|GO11098_LC
233330475, 257.708034, -30.279215, 11.614, GO11122_LC|GO11098_LC|GO11065_LC
233355323, 256.884613, -30.178619, 11.176, GO11098_LC
233358758, 256.945635, -30.16486, 10.61, GO11098_LC
233382054, 257.729579, -30.073673, 11.258, GO11071_LC|GO11098_LC
233382331, 257.474438, -30.072648, 11.694, GO11122_LC|GO11098_LC
233384665, 257.434691, -30.063124, 11.382, GO11122_LC|GO11098_LC
233388992, 257.755827, -30.045829, 10.124, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
233441154, 259.123783, -17.757983, 10.572, GO11098_LC
233441842, 259.079389, -17.753194, 11.462, GO11123_LC|GO11098_LC
233446851, 258.750447, -17.719315, 10.763, GO11123_LC|GO11098_LC
233452528, 258.774392, -17.680765, 10.492, GO11123_LC|GO11098_LC|GO11019_LC
233465878, 261.63092, -17.588776, 10.972, GO11123_LC|GO11098_LC
233472322, 261.415344, -17.543768, 11.057, GO11049_LC|GO11123_LC|GO11098_LC
233479779, 261.409501, -17.490465, 10.539, GO11123_LC|GO11122_LC|GO11098_LC|GO11019_LC
233482340, 261.683643, -17.472035, 11.177, GO11098_LC|GO11019_LC
233491774, 261.729996, -17.405299, 11.652, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11065_LC|GO11019_LC
233520266, 259.933867, -17.198529, 10.644, GO11098_LC
233527393, 259.891421, -17.145481, 9.876, GO11098_LC
233530683, 261.70194, -17.120816, 10.594, GO11123_LC|GO11098_LC
233533059, 261.701908, -17.102811, 11.284, GO11098_LC|GO11038_LC|GO11019_LC
233534104, 261.956626, -17.094974, 10.492, GO11123_LC|GO11098_LC
233534651, 261.986995, -17.090715, 11.166, GO11123_LC|GO11098_LC
233542255, 260.297758, -17.032495, 10.489, GO11098_LC
233544483, 260.273138, -17.016266, 11.292, GO11098_LC
233567362, 261.99813, -16.840977, 10.945, GO11098_LC
233571072, 261.987817, -16.812699, 11.596, GO11048_LC|GO11098_LC
233960930, 259.341119, -21.72002, 11.674, GO11071_LC|GO11122_LC|GO11098_LC|GO11065_LC
233964290, 259.372679, -21.702743, 10.231, GO11123_LC|GO11098_LC
