EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200161428, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161429, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161430, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161431, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161432, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161433, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161434, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161435, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161436, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161437, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161438, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161439, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161440, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161441, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161442, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161443, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161444, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161445, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161446, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161447, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
