EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212451544, 204.651123, -13.7695742, 9.228, GO6016_LC|GO6030_LC|GO6086_LC|GO6087_LC
212451895, 199.6435242, -13.7619591, 14.957, GO6008_LC|GO6016_LC
212452333, 210.9723511, -13.7523556, 14.935, GO6016_LC
212453964, 210.0103302, -13.7169199, 9.519, GO6016_LC|GO6030_LC
212455137, 201.8039093, -13.6918392, 14.601, GO6016_LC
212456328, 202.2311859, -13.6649599, 14.402, GO6016_LC|GO6032_LC
212456366, 202.2280884, -13.6640062, 13.679, GO6016_LC|GO6030_LC
212456527, 205.5636139, -13.6605883, 14.091, GO6016_LC
212456672, 205.5649109, -13.6572428, 14.825, GO6016_LC
212456879, 202.7515411, -13.6522493, 14.06, GO6016_LC
212457061, 202.7555847, -13.64886, 13.748, GO6016_LC|GO6030_LC
212457697, 198.4317474, -13.6355362, 14.543, GO6016_LC
212457858, 209.3129883, -13.6323547, 14.687, GO6008_LC|GO6016_LC|GO6032_LC
212458893, 199.2103729, -13.6114769, 14.495, GO6016_LC
212459441, 198.157074, -13.5999556, 14.179, GO6008_LC|GO6016_LC|GO6032_LC
212460025, 199.6824341, -13.5877161, 14.654, GO6016_LC|GO6032_LC
212460623, 202.0010986, -13.5750313, 9.086, GO6016_LC|GO6030_LC
212461484, 204.6156921, -13.556056, 7.976, GO6016_LC|GO6030_LC|GO6039_LC|GO6039_SC
212461525, 204.0433807, -13.555419, 14.782, GO6016_LC
212462511, 199.4688263, -13.534132, 14.996, GO6016_LC
212462553, 200.9150085, -13.5331478, 14.748, GO6016_LC|GO6032_LC
212462907, 198.422699, -13.5260696, 13.498, GO6016_LC|GO6030_LC|GO6032_LC
212463213, 198.9810486, -13.5198088, 14.966, GO6016_LC|GO6040_LC|GO6082_LC
212463880, 204.2406158, -13.5060825, 14.914, GO6016_LC
212464523, 202.1657104, -13.4928522, 14.693, GO6008_LC|GO6016_LC|GO6032_LC
212465840, 197.7632904, -13.4647026, 14.38, GO6016_LC|GO6032_LC
212466234, 205.2583923, -13.4563684, 14.835, GO6016_LC
212466341, 198.3258209, -13.45438, 14.4, GO6008_LC|GO6016_LC|GO6032_LC
212466784, 200.8855591, -13.4456348, 14.666, GO6016_LC|GO6032_LC
212467105, 198.4776001, -13.4385681, 14.676, GO6008_LC|GO6016_LC|GO6032_LC
212467125, 205.7568817, -13.4380569, 12.701, GO6016_LC|GO6030_LC|GO6071_LC
212467571, 200.5773315, -13.4286776, 14.855, GO6008_LC|GO6016_LC
212468867, 202.092392, -13.4003487, 14.984, GO6008_LC|GO6016_LC
212469673, 204.1422882, -13.3827534, 13.992, GO6016_LC
212471729, 198.0586243, -13.339694, 14.973, GO6016_LC
212472303, 200.6442261, -13.3283892, 14.439, GO6016_LC|GO6032_LC
212473567, 203.5473785, -13.3010798, 14.115, GO6016_LC
212473645, 204.4956818, -13.2995596, 14.415, GO6016_LC|GO6032_LC
212473837, 199.5897827, -13.2962246, 14.819, GO6016_LC
